en,ru
apple,яблоко
banana,банан
cherry,вишня
house,дом
car,машина
tree,дерево
cat,кот
dog,собака
bird,птица
fish,рыба
flower,цветок
sun,солнце
moon,луна
star,звезда
river,река
mountain,гора
sea,море
sky,небо
cloud,облако
rain,дождь
snow,снег
wind,ветер
fire,огонь
earth,земля
stone,камень
sand,песок
forest,лес
field,поле
road,дорога
bridge,мост
city,город
village,деревня
country,страна
world,мир
family,семья
friend,друг
child,ребенок
man,мужчина
woman,женщина
boy,мальчик
girl,девочка
school,школа
teacher,учитель
student,студент
book,книга
pen,ручка
paper,бумага
table,стол
chair,стул
window,окно
door,дверь
wall,стена
floor,пол
ceiling,потолок
bed,кровать
kitchen,кухня
bathroom,ванная
garden,сад
park,парк
shop,магазин
market,рынок
restaurant,ресторан
hotel,отель
airport,аэропорт
station,станция
bus,автобус
train,поезд
plane,самолет
ship,корабль
phone,телефон
computer,компьютер
internet,интернет
music,музыка
song,песня
movie,фильм
game,игра
sport,спорт
ball,мяч
team,команда
food,еда
water,вода
bread,хлеб
milk,молоко
coffee,кофе
tea,чай
sugar,сахар
salt,соль
fruit,фрукт
vegetable,овощ
meat,мясо
egg,яйцо
cheese,сыр
cake,торт
cookie,печенье
pencil,карандаш
notebook,тетрадь
backpack,рюкзак
umbrella,зонт
pillow,подушка
blanket,одеяло
mirror,зеркало
carpet,ковёр
curtain,занавеска
picture,картина
bottle,бутылка
glass,стакан
plate,тарелка
spoon,ложка
fork,вилка
knife,нож
piano,пианино
guitar,гитара
violin,скрипка
trumpet,труба
camera,камера
radio,радио
television,телевизор
printer,принтер
keyboard,клавиатура
mouse,мышь
monitor,монитор
puzzle,пазл
bicycle,велосипед
motorcycle,мотоцикл
airplane,самолёт
helicopter,вертолёт
rocket,ракета
planet,планета
galaxy,галактика
universe,вселенная
continent,континент
island,остров
desert,пустыня
jungle,джунгли
volcano,вулкан
earthquake,землетрясение
hurricane,ураган
tornado,торнадо
avalanche,лавина
tsunami,цунами
valley,долина
